time,q,p,r
0,True,True,False
1,False,True,False
2,False,True,False
3,False,True,False
4,False,True,False
5,False,True,False
6,False,True,False
7,False,True,False
8,False,True,False
9,False,True,False
10,False,True,True
11,False,False,False
12,True,True,False
13,False,True,False
14,False,True,False
15,False,True,False
16,False,True,False
17,False,True,False
18,False,True,True
19,False,False,False
20,True,True,False
21,False,True,False
22,False,True,False
23,False,True,False
24,False,True,True
25,False,False,False
26,True,True,False
27,False,True,False
28,False,True,False
29,False,True,False
30,False,True,False
31,False,True,False
32,False,True,True
33,False,False,False
34,True,True,False
35,False,True,False
36,False,True,False
37,False,True,False
38,False,True,True
39,False,False,False
40,True,True,False
41,False,True,False
42,False,True,False
43,False,True,False
44,False,True,False
45,False,True,True
46,False,False,False
47,True,True,False
48,False,True,False
49,False,True,False
50,False,True,False
51,False,True,False
52,False,True,False
53,False,True,False
54,False,True,True
55,False,False,False
56,True,True,False
57,False,True,False
58,False,True,False
59,False,True,False
60,False,True,False
61,False,True,True
62,False,False,False
63,True,True,False
64,False,True,False
65,False,True,False
66,False,True,False
67,False,True,False
68,False,True,False
69,False,True,False
70,False,True,True
71,False,False,False
72,True,True,False
73,False,True,False
74,False,True,False
75,False,True,False
76,False,True,False
77,False,True,False
78,False,True,False
79,False,True,False
80,False,True,False
81,False,True,False
82,False,True,True
83,False,False,False
84,True,True,False
85,False,True,False
86,False,True,False
87,False,True,False
88,False,True,False
89,False,True,True
90,False,False,False
91,True,True,False
92,False,True,False
93,False,True,False
94,False,True,False
95,False,True,False
96,False,True,True
97,False,False,False
98,True,True,False
99,False,True,False
100,False,True,False
101,False,True,False
102,False,True,False
103,False,True,True
104,False,False,False
105,True,True,False
106,False,True,False
107,False,True,False
108,False,True,False
109,False,True,False
110,False,True,False
111,False,True,False
112,False,True,False
113,False,True,False
114,False,True,True
115,False,False,False
116,True,True,False
117,False,True,False
118,False,True,False
119,False,True,False
120,False,True,False
121,False,True,False
122,False,True,False
123,False,True,True
124,False,False,False
125,True,True,False
126,False,True,False
127,False,True,False
128,False,True,False
129,False,True,False
130,False,True,False
131,False,True,True
132,False,False,False
133,True,True,False
134,False,True,False
135,False,True,False
136,False,True,False
137,False,True,False
138,False,True,False
139,False,True,False
140,False,True,False
141,False,True,False
142,False,True,True
143,False,False,False
144,True,True,False
145,False,True,False
146,False,True,False
147,False,True,False
148,False,True,False
149,False,True,False
150,False,True,False
151,False,True,False
152,False,True,True
153,False,False,False
154,True,True,False
155,False,True,False
156,False,True,False
157,False,True,False
158,False,True,False
159,False,True,False
160,False,True,False
161,False,True,False
162,False,True,True
163,False,False,False
164,True,True,False
165,False,True,False
166,False,True,False
167,False,True,False
168,False,True,False
169,False,True,True
170,False,False,False
171,True,True,False
172,False,True,False
173,False,True,False
174,False,True,False
175,False,True,False
176,False,True,False
177,False,True,False
178,False,True,False
179,False,True,False
180,False,True,False
181,False,True,True
182,False,False,False
183,True,True,False
184,False,True,False
185,False,True,False
186,False,True,False
187,False,True,True
188,False,False,False
189,True,True,False
190,False,True,False
191,False,True,False
192,False,True,False
193,False,True,False
194,False,True,False
195,False,True,True
196,False,False,False
197,True,True,False
198,False,True,False
199,False,True,False
200,False,True,False
201,False,True,False
