time,p,s
0,True,False
1,False,False
2,False,False
3,False,False
4,False,False
5,False,True
6,True,False
7,False,False
8,False,False
9,False,False
10,False,True
11,True,False
12,False,False
13,False,False
14,False,False
15,False,False
16,False,True
17,True,False
18,False,False
19,False,False
20,False,False
21,False,False
22,False,False
23,False,False
24,False,True
25,True,False
26,False,False
27,False,False
28,False,False
29,False,False
30,False,True
31,True,False
32,False,False
33,False,False
34,False,False
35,False,False
36,False,False
37,False,False
38,False,False
39,False,False
40,False,False
41,False,True
42,True,False
43,False,False
44,False,False
45,False,False
46,False,False
47,False,False
48,False,False
49,False,True
50,True,False
51,False,False
52,False,False
53,False,False
54,False,False
55,False,False
56,False,False
57,False,False
58,False,True
59,True,False
60,False,False
61,False,False
62,False,False
63,False,False
64,False,False
65,False,True
66,True,False
67,False,False
68,False,False
69,False,False
70,False,False
71,False,False
72,False,False
73,False,False
74,False,False
75,False,False
76,False,True
77,True,False
78,False,False
79,False,False
80,False,False
81,False,True
82,True,False
83,False,False
84,False,False
85,False,False
86,False,False
87,False,False
88,False,False
89,False,False
90,False,False
91,False,False
92,False,True
93,True,False
94,False,False
95,False,False
96,False,False
97,False,False
98,False,False
99,False,False
100,False,False
101,False,True
102,True,False
103,False,False
104,False,False
105,False,False
106,False,False
107,False,False
108,False,False
109,False,False
110,False,False
111,False,False
112,False,True
113,True,False
114,False,False
115,False,False
116,False,False
117,False,False
118,False,False
119,False,True
120,True,False
121,False,False
122,False,False
123,False,False
124,False,False
125,False,False
126,False,False
127,False,False
128,False,False
129,False,True
130,True,False
131,False,False
132,False,False
133,False,False
134,False,False
135,False,False
136,False,False
137,False,False
138,False,True
139,True,False
140,False,False
141,False,False
142,False,False
143,False,False
144,False,False
145,False,False
146,False,False
147,False,False
148,False,True
149,True,False
150,False,False
151,False,False
152,False,False
153,False,False
154,False,False
155,False,False
156,False,True
157,True,False
158,False,False
159,False,False
160,False,False
161,False,False
162,False,False
163,False,True
164,True,False
165,False,False
166,False,False
167,False,False
168,False,True
169,True,False
170,False,False
171,False,False
172,False,False
173,False,False
174,False,False
175,False,False
176,False,False
177,False,False
178,False,True
179,True,False
180,False,False
181,False,False
182,False,False
183,False,False
184,False,False
185,False,True
186,True,False
187,False,False
188,False,False
189,False,False
190,False,False
191,False,False
192,False,False
193,False,False
194,False,False
195,False,True
196,True,False
197,False,False
198,False,False
199,False,False
200,False,True
201,True,False
202,False,False
203,False,False
204,False,False
205,False,False
206,False,True
207,True,False
208,False,False
209,False,False
210,False,False
211,False,False
212,False,False
213,False,False
214,False,False
215,False,False
216,False,False
217,False,True
218,True,False
219,False,False
220,False,False
221,False,False
222,False,False
223,False,False
224,False,False
225,False,True
226,True,False
227,False,False
228,False,False
229,False,False
230,False,False
231,False,False
232,False,False
233,False,False
234,False,False
235,False,False
236,False,True
237,True,False
238,False,False
239,False,False
240,False,False
241,False,False
242,False,False
243,False,True
244,True,False
245,False,False
246,False,False
247,False,False
248,False,False
249,False,False
250,False,False
251,False,False
252,False,False
253,False,True
254,True,False
255,False,False
256,False,False
257,False,False
258,False,False
259,False,False
260,False,False
261,False,True
262,True,False
263,False,False
264,False,False
265,False,False
266,False,False
267,False,False
268,False,False
269,False,False
270,False,False
271,False,True
272,True,False
273,False,False
274,False,False
275,False,False
276,False,False
277,False,True
278,True,False
279,False,False
280,False,False
281,False,False
282,False,True
283,True,False
284,False,False
285,False,False
286,False,False
287,False,False
288,False,True
289,True,False
290,False,False
291,False,False
292,False,False
293,False,False
294,False,False
295,False,True
296,True,False
297,False,False
298,False,False
299,False,False
300,False,False
301,False,False
302,False,False
303,False,False
304,False,False
305,False,False
306,False,True
307,True,False
308,False,False
309,False,False
310,False,False
311,False,True
312,True,False
313,False,False
314,False,False
315,False,False
316,False,False
317,False,False
318,False,False
319,False,True
320,True,False
321,False,False
322,False,False
323,False,False
324,False,False
325,False,False
326,False,False
327,False,False
328,False,True
329,True,False
330,False,False
331,False,False
332,False,False
333,False,False
334,False,False
335,False,False
336,False,False
337,False,True
338,True,False
339,False,False
340,False,False
341,False,False
342,False,False
343,False,False
344,False,False
345,False,False
346,False,True
347,True,False
348,False,False
349,False,False
350,False,False
351,False,False
352,False,False
353,False,True
354,True,False
355,False,False
356,False,False
357,False,False
358,False,True
359,True,False
360,False,False
361,False,False
362,False,False
363,False,True
364,True,False
365,False,False
366,False,False
367,False,False
368,False,False
369,False,False
370,False,False
371,False,True
372,True,False
373,False,False
374,False,False
375,False,False
376,False,False
377,False,False
378,False,False
379,False,False
380,False,False
381,False,True
382,True,False
383,False,False
384,False,False
385,False,False
386,False,True
387,True,False
388,False,False
389,False,False
390,False,False
391,False,False
392,False,False
393,False,True
394,True,False
395,False,False
396,False,False
397,False,False
398,False,True
399,True,False
400,False,False
401,False,False
402,False,False
403,False,False
404,False,True
405,True,False
406,False,False
407,False,False
408,False,False
409,False,False
410,False,False
411,False,False
412,False,False
413,False,False
414,False,False
415,False,True
416,True,False
417,False,False
418,False,False
419,False,False
420,False,False
421,False,False
422,False,False
423,False,False
424,False,False
425,False,True
426,True,False
427,False,False
428,False,False
429,False,False
430,False,False
431,False,False
432,False,False
433,False,False
434,False,True
435,True,False
436,False,False
437,False,False
438,False,False
439,False,False
440,False,False
441,False,False
442,False,False
443,False,True
444,True,False
445,False,False
446,False,False
447,False,False
448,False,False
449,False,False
450,False,False
451,False,False
452,False,False
453,False,True
454,True,False
455,False,False
456,False,False
457,False,False
458,False,False
459,False,False
460,False,True
461,True,False
462,False,False
463,False,False
464,False,False
465,False,False
466,False,True
467,True,False
468,False,False
469,False,False
470,False,False
471,False,False
472,False,False
473,False,False
474,False,True
475,True,False
476,False,False
477,False,False
478,False,False
479,False,False
480,False,False
481,False,False
482,False,False
483,False,False
484,False,True
485,True,False
486,False,False
487,False,False
488,False,False
489,False,True
490,True,False
491,False,False
492,False,False
493,False,False
494,False,False
495,False,True
496,True,False
497,False,False
498,False,False
499,False,False
500,False,False
501,False,False
502,False,False
503,False,False
504,False,False
505,False,True
506,True,False
507,False,False
508,False,False
509,False,False
510,False,False
511,False,False
512,False,False
513,False,False
514,False,False
515,False,False
516,False,True
517,True,False
518,False,False
519,False,False
520,False,False
521,False,False
522,False,False
523,False,False
524,False,False
525,False,False
526,False,True
