time,q,p
0,True,True
1,False,True
2,False,True
3,False,True
4,False,True
5,False,True
6,False,True
7,False,True
8,False,True
9,False,True
10,False,True
11,False,False
12,False,False
13,False,False
14,False,False
15,False,False
16,False,False
17,False,True
18,False,True
19,False,False
20,False,True
21,True,True
22,False,True
23,False,True
24,False,True
25,False,True
26,False,True
27,False,True
28,False,True
29,False,True
30,False,True
31,False,True
32,False,True
33,False,True
34,False,True
35,False,True
36,False,False
37,False,False
38,False,True
39,False,False
40,False,False
41,False,True
42,True,True
43,False,True
44,False,True
45,False,True
46,False,True
47,False,True
48,False,True
49,False,True
50,False,True
51,False,True
52,False,True
53,False,True
54,False,False
55,False,True
56,False,False
57,False,True
58,False,True
59,False,False
60,False,False
61,False,True
62,False,True
63,True,True
64,False,True
65,False,True
66,False,True
67,False,True
68,False,True
69,False,True
70,False,True
71,False,True
72,False,True
73,False,True
74,False,True
75,False,True
76,False,True
77,False,False
78,False,False
79,False,False
80,False,True
81,False,False
82,False,False
83,False,True
84,True,True
85,False,True
86,False,True
87,False,True
88,False,True
89,False,True
90,False,True
91,False,True
92,False,True
93,False,True
94,False,True
95,False,True
96,False,True
97,False,False
98,False,True
99,False,False
100,False,False
101,False,False
102,False,True
103,False,True
104,False,False
105,True,True
106,False,True
107,False,True
108,False,True
109,False,True
110,False,True
111,False,True
112,False,True
113,False,True
114,False,True
115,False,True
116,False,True
117,False,True
118,False,False
119,False,True
120,False,True
121,False,True
122,False,True
123,False,True
124,False,False
125,False,False
126,True,True
127,False,True
128,False,True
129,False,True
130,False,True
131,False,True
132,False,True
133,False,True
134,False,True
135,False,True
136,False,True
137,False,True
138,False,True
139,False,True
140,False,False
141,False,False
142,False,False
143,False,False
144,False,False
145,False,False
146,False,False
147,True,True
148,False,True
149,False,True
150,False,True
151,False,True
152,False,True
153,False,True
154,False,True
155,False,True
156,False,True
157,False,True
158,False,True
159,False,False
160,False,False
161,False,False
162,False,False
163,False,True
164,False,False
165,False,True
166,False,False
167,False,True
168,True,True
169,False,True
170,False,True
171,False,True
172,False,True
173,False,True
174,False,True
175,False,True
176,False,True
177,False,True
178,False,True
179,False,True
180,False,True
181,False,True
182,False,True
183,False,False
184,False,False
185,False,False
186,False,True
187,False,False
188,False,True
189,True,True
190,False,True
191,False,True
192,False,True
193,False,True
194,False,True
195,False,True
196,False,True
197,False,True
198,False,True
199,False,True
200,False,False
201,False,False
202,False,False
203,False,True
204,False,False
205,False,True
206,False,True
207,False,False
208,False,False
209,False,True
210,True,True
211,False,True
212,False,True
213,False,True
214,False,True
215,False,True
216,False,True
217,False,True
218,False,True
219,False,True
220,False,True
221,False,True
222,False,False
223,False,False
224,False,False
225,False,False
226,False,False
227,False,True
228,False,True
229,False,True
230,False,False
231,True,True
232,False,True
233,False,True
234,False,True
235,False,True
236,False,True
237,False,True
238,False,True
239,False,True
240,False,True
241,False,True
242,False,False
243,False,True
244,False,True
245,False,True
246,False,False
247,False,True
248,False,True
249,False,False
250,False,True
251,False,False
252,True,True
253,False,True
254,False,True
255,False,True
256,False,True
257,False,True
258,False,True
259,False,True
260,False,True
261,False,True
262,False,True
263,False,True
264,False,False
265,False,True
266,False,True
267,False,True
268,False,True
269,False,False
270,False,True
271,False,True
272,False,True
273,True,True
274,False,True
275,False,True
276,False,True
277,False,True
278,False,True
279,False,True
280,False,True
281,False,True
282,False,True
283,False,True
284,False,False
285,False,False
286,False,True
287,False,True
288,False,True
289,False,True
290,False,False
291,False,True
292,False,True
293,False,False
294,True,True
295,False,True
296,False,True
297,False,True
298,False,True
299,False,True
300,False,True
301,False,True
302,False,True
303,False,True
304,False,True
305,False,False
306,False,False
307,False,True
308,False,True
309,False,False
310,False,False
311,False,False
312,False,False
313,False,True
314,False,False
315,True,True
316,False,True
317,False,True
318,False,True
319,False,True
320,False,True
321,False,True
322,False,True
323,False,True
324,False,True
325,False,True
326,False,False
327,False,False
328,False,True
