time,q,p,r
0,True,True,False
1,False,True,False
2,False,True,False
3,False,True,False
4,False,True,False
5,False,True,False
6,False,True,False
7,False,True,True
8,False,False,False
9,True,True,False
10,False,True,False
11,False,True,False
12,False,True,False
13,False,True,True
14,False,False,False
15,True,True,False
16,False,True,False
17,False,True,False
18,False,True,False
19,False,True,False
20,False,True,False
21,False,True,False
22,False,True,False
23,False,True,True
24,False,False,False
25,True,True,False
26,False,True,False
27,False,True,False
28,False,True,False
29,False,True,False
30,False,True,False
31,False,True,False
32,False,True,False
33,False,True,False
34,False,True,False
35,False,True,True
36,False,False,False
37,True,True,False
38,False,True,False
39,False,True,False
40,False,True,False
41,False,True,False
42,False,True,False
43,False,True,False
44,False,True,False
45,False,True,False
46,False,True,True
47,False,False,False
48,True,True,False
49,False,True,False
50,False,True,False
51,False,True,False
52,False,True,False
53,False,True,True
54,False,False,False
55,True,True,False
56,False,True,False
57,False,True,False
58,False,True,False
59,False,True,False
60,False,True,True
61,False,False,False
62,True,True,False
63,False,True,False
64,False,True,False
65,False,True,False
66,False,True,False
67,False,True,False
68,False,True,False
69,False,True,False
70,False,True,True
71,False,False,False
72,True,True,False
73,False,True,False
74,False,True,False
75,False,True,False
76,False,True,False
77,False,True,True
78,False,False,False
79,True,True,False
80,False,True,False
81,False,True,False
82,False,True,False
83,False,True,False
84,False,True,False
85,False,True,False
86,False,True,False
87,False,True,False
88,False,True,False
89,False,True,True
90,False,False,False
91,True,True,False
92,False,True,False
93,False,True,False
94,False,True,False
95,False,True,False
96,False,True,False
97,False,True,False
98,False,True,False
99,False,True,True
100,False,False,False
101,True,True,False
102,False,True,False
103,False,True,False
104,False,True,False
105,False,True,False
106,False,True,False
107,False,True,False
108,False,True,False
109,False,True,False
110,False,True,True
111,False,False,False
112,True,True,False
113,False,True,False
114,False,True,False
115,False,True,False
116,False,True,True
117,False,False,False
118,True,True,False
119,False,True,False
120,False,True,False
121,False,True,False
122,False,True,False
123,False,True,False
124,False,True,False
125,False,True,False
126,False,True,False
127,False,True,False
128,False,True,True
129,False,False,False
130,True,True,False
131,False,True,False
132,False,True,False
133,False,True,False
134,False,True,True
135,False,False,False
136,True,True,False
137,False,True,False
138,False,True,False
139,False,True,False
140,False,True,False
141,False,True,False
142,False,True,False
143,False,True,True
144,False,False,False
145,True,True,False
146,False,True,False
147,False,True,False
148,False,True,False
149,False,True,False
150,False,True,False
151,False,True,False
152,False,True,False
153,False,True,False
154,False,True,False
155,False,True,True
156,False,False,False
157,True,True,False
158,False,True,False
159,False,True,False
160,False,True,False
161,False,True,False
162,False,True,False
163,False,True,True
164,False,False,False
165,True,True,False
166,False,True,False
167,False,True,False
168,False,True,False
169,False,True,False
170,False,True,False
171,False,True,False
172,False,True,False
173,False,True,False
174,False,True,True
175,False,False,False
176,True,True,False
177,False,True,False
178,False,True,False
179,False,True,False
180,False,True,False
181,False,True,True
182,False,False,False
183,True,True,False
184,False,True,False
185,False,True,False
186,False,True,False
187,False,True,False
188,False,True,True
189,False,False,False
190,True,True,False
191,False,True,False
192,False,True,False
193,False,True,False
194,False,True,False
195,False,True,False
196,False,True,False
197,False,True,False
198,False,True,False
199,False,True,False
200,False,True,True
201,False,False,False
