simulation_time_rounded_down;error;mean_of_bin
0;0.02587043086185938;0.305931
1;0.03454066930554043;0.37722558
2;0.0345853717350867;0.3770992
3;0.03456647249444482;0.37750152
4;0.033663894374559446;0.35354894
5;0.04084005752258941;0.3860812
6;0.04754292425637083;0.4245407
7;0.04328979396038772;0.42315644
8;0.04289919224256373;0.38420048
9;0.04534636723758161;0.42373058
10;0.041502411959179086;0.4061514
11;0.036359243880588574;0.3765871
12;0.043585660321010314;0.40600792
13;0.04162352855579849;0.40613782
14;0.034666363694026585;0.3774511
15;0.0342962753393411;0.36577246
16;0.03456784696255808;0.37729084
17;0.03458946192124426;0.37758723
18;0.03462852219685371;0.3771402
19;0.04038969629544758;0.37289423
20;0.04441204175285646;0.4391155
21;0.03629818194729002;0.37617946
22;0.03879570424878305;0.38722342
23;0.03461070960359801;0.3775732
24;0.038812788313956376;0.38651115
25;0.03604313971597445;0.36350685
26;0.047577558326082514;0.42496094
27;0.043381760786895096;0.42289343
28;0.038679076301222574;0.386667
29;0.03877670355958457;0.3868888
30;0.047202837176918026;0.33870533
31;0.06786135808827347;0.65566486
32;0.06790248890331177;0.7555179
33;0.0678430619262812;0.8557409
34;0.07491710337547754;0.77011037
35;0.040683406687035975;0.45789805
36;0.034560078999965174;0.37742853
37;0.03885709658928243;0.38674733
38;0.034595112554433455;0.37720034
39;0.03447896249038691;0.3879145
40;0.03461519842221359;0.3776849
41;0.034658891664279205;0.37713018
42;0.03868613441312506;0.38679582
43;0.0345297233363857;0.37713623
44;0.034561921450474;0.37734237
45;0.03461904164166579;0.37698808
46;0.038795403630153755;0.38688284
47;0.03437502078823047;0.3657973
48;0.03456932212042365;0.3775388
49;0.034569875647968935;0.37739804
50;0.03460042381043362;0.37735024
51;0.0346063571594123;0.37699643
52;0.04008466724917208;0.39608976
53;0.04146485923434512;0.4063543
54;0.03878057793088172;0.3867829
55;0.03456199548447389;0.37720767
56;0.034609865907984295;0.37734538
57;0.0436142604009787;0.40558505
58;0.04146598650785356;0.405681
59;0.034542178439023755;0.37730518
60;0.03459307309697255;0.3770299
61;0.03454922388817936;0.38767135
62;0.03810165947413343;0.3615216
63;0.041664990199194354;0.4052149
64;0.034542428499202964;0.3772638
65;0.036316838162642036;0.3757763
66;0.04155994478827163;0.4054787
67;0.03882197173573532;0.38655308
68;0.03453047980898306;0.37760267
69;0.03460947879682724;0.3776091
70;0.036140583742001395;0.36415476
71;0.04162227652605739;0.4056164
72;0.03463961277986963;0.3768232
73;0.034575071110864164;0.37677544
74;0.03461894857420291;0.37762737
75;0.03458121481215149;0.37739933
76;0.034626715955107586;0.37752762
77;0.03459649221299383;0.38778323
78;0.03869821957334261;0.3871182
79;0.03437180026353544;0.3659293
80;0.034622301673361555;0.37733024
81;0.034614316055482874;0.38746363
82;0.038099896450694275;0.3612585
83;0.04340062829163059;0.42315483
84;0.038801004255086494;0.386436
85;0.034561185042239005;0.37765756
86;0.038278672633213995;0.39714357
87;0.03829054846079392;0.39727247
88;0.034614110090254537;0.37736562
89;0.034440926737262324;0.3774945
90;0.03466397719062409;0.37754452
91;0.03461468173461893;0.38790327
92;0.04071233234263579;0.38609606
93;0.038799785681359465;0.38709572
94;0.034331464752721357;0.36581466
95;0.03821292302372517;0.39696103
96;0.038816818472724134;0.38690066
97;0.03453839242365085;0.37747002
98;0.040323433846187404;0.3727675
99;0.044500229268940296;0.43896672
100;0.03455681838646099;0.37734708
101;0.0400877166725148;0.39637724
102;0.041575802682043264;0.4062396
103;0.03641212383232891;0.37593824
104;0.041583957594392124;0.40562922
105;0.0363307784756271;0.37600574
106;0.04152568435687003;0.4061744
107;0.03460602443437197;0.37779537
108;0.03634834653289566;0.37634265
109;0.043304960658401975;0.42366877
110;0.03459324686888411;0.37701377
111;0.03429412178308724;0.3660103
112;0.03458232149470827;0.37750956
113;0.03613222106396015;0.36362904
114;0.04160250828025637;0.40546432
115;0.034556251582203476;0.3769211
116;0.03456067133099613;0.377102
117;0.036323161080028595;0.3755729
118;0.0434127117573056;0.42270216
119;0.03827017891209423;0.3966558
