simulation_time_rounded_down,error,resp_time,instance_count
0,0.025870430861859,0.305931,2
1,0.034540669305541,0.37722558,2
2,0.034585371735087,0.3770992,2
3,0.034566472494445,0.37750152,2
4,0.03366389437456,0.35354894,2
5,0.04084005752259,0.3860812,2
6,0.047542924256371,0.4245407,2
7,0.043289793960388,0.42315644,2
8,0.042899192242564,0.38420048,2
9,0.045346367237582,0.42373058,2
10,0.041502411959179,0.4061514,2
11,0.036359243880589,0.3765871,2
12,0.04358566032101,0.40600792,2
13,0.041623528555799,0.40613782,2
14,0.034666363694027,0.3774511,2
15,0.034296275339341,0.36577246,2
16,0.034567846962558,0.37729084,2
17,0.034589461921244,0.37758723,2
18,0.034628522196854,0.3771402,2
19,0.040389696295448,0.37289423,2
20,0.044412041752857,0.4391155,2
21,0.03629818194729,0.37617946,2
22,0.038795704248783,0.38722342,2
23,0.034610709603598,0.3775732,2
24,0.038812788313956,0.38651115,2
25,0.036043139715975,0.36350685,2
26,0.047577558326083,0.42496094,2
27,0.043381760786895,0.42289343,2
28,0.038679076301223,0.386667,2
29,0.038776703559585,0.3868888,2
30,0.047202837176918,0.33870533,1
31,0.067861358088274,0.65566486,1
32,0.067902488903312,0.7555179,1
33,0.067843061926281,0.8557409,1
34,0.074917103375478,0.77011037,2
35,0.040683406687036,0.45789805,2
36,0.034560078999965,0.37742853,2
37,0.038857096589283,0.38674733,2
38,0.034595112554434,0.37720034,2
39,0.034478962490387,0.3879145,2
40,0.034615198422214,0.3776849,2
41,0.034658891664279,0.37713018,2
42,0.038686134413125,0.38679582,2
43,0.034529723336386,0.37713623,2
44,0.034561921450474,0.37734237,2
45,0.034619041641666,0.37698808,2
46,0.038795403630154,0.38688284,2
47,0.034375020788231,0.3657973,2
48,0.034569322120424,0.3775388,2
49,0.034569875647969,0.37739804,2
50,0.034600423810434,0.37735024,2
51,0.034606357159412,0.37699643,2
52,0.040084667249172,0.39608976,2
53,0.041464859234345,0.4063543,2
54,0.038780577930882,0.3867829,2
55,0.034561995484474,0.37720767,2
56,0.034609865907984,0.37734538,2
57,0.043614260400979,0.40558505,2
58,0.041465986507854,0.405681,2
59,0.034542178439024,0.37730518,2
60,0.034593073096973,0.3770299,2
61,0.034549223888179,0.38767135,2
62,0.038101659474134,0.3615216,2
63,0.041664990199194,0.4052149,2
64,0.034542428499203,0.3772638,2
65,0.036316838162642,0.3757763,2
66,0.041559944788272,0.4054787,2
67,0.038821971735735,0.38655308,2
68,0.034530479808983,0.37760267,2
69,0.034609478796827,0.3776091,2
70,0.036140583742001,0.36415476,2
71,0.041622276526057,0.4056164,2
72,0.03463961277987,0.3768232,2
73,0.034575071110864,0.37677544,2
74,0.034618948574203,0.37762737,2
75,0.034581214812152,0.37739933,2
76,0.034626715955108,0.37752762,2
77,0.034596492212994,0.38778323,2
78,0.038698219573343,0.3871182,2
79,0.034371800263536,0.3659293,2
80,0.034622301673362,0.37733024,2
81,0.034614316055483,0.38746363,2
82,0.038099896450694,0.3612585,2
83,0.043400628291631,0.42315483,2
84,0.038801004255087,0.386436,2
85,0.034561185042239,0.37765756,2
86,0.038278672633214,0.39714357,2
87,0.038290548460794,0.39727247,2
88,0.034614110090255,0.37736562,2
89,0.034440926737262,0.3774945,2
90,0.034663977190624,0.37754452,2
91,0.034614681734619,0.38790327,2
92,0.040712332342636,0.38609606,2
93,0.03879978568136,0.38709572,2
94,0.034331464752721,0.36581466,2
95,0.038212923023725,0.39696103,2
96,0.038816818472724,0.38690066,2
97,0.034538392423651,0.37747002,2
98,0.040323433846188,0.3727675,2
99,0.04450022926894,0.43896672,2
100,0.034556818386461,0.37734708,2
101,0.040087716672515,0.39637724,2
102,0.041575802682043,0.4062396,2
103,0.036412123832329,0.37593824,2
104,0.041583957594392,0.40562922,2
105,0.036330778475627,0.37600574,2
106,0.04152568435687,0.4061744,2
107,0.034606024434372,0.37779537,2
108,0.036348346532896,0.37634265,2
109,0.043304960658402,0.42366877,2
110,0.034593246868884,0.37701377,2
111,0.034294121783087,0.3660103,2
112,0.034582321494708,0.37750956,2
113,0.03613222106396,0.36362904,2
114,0.041602508280256,0.40546432,2
115,0.034556251582204,0.3769211,2
116,0.034560671330996,0.377102,2
117,0.036323161080029,0.3755729,2
118,0.043412711757306,0.42270216,2
119,0.038270178912094,0.3966558,2
