(0, True, [True, True, True, True], '(instance_count=2,resp_time=0.305931)')
(1, True, [True, True, True, True], '(instance_count=2,resp_time=0.37722558)')
(2, True, [True, True, True, True], '(instance_count=2,resp_time=0.3770992)')
(3, True, [True, True, True, True], '(instance_count=2,resp_time=0.37750152)')
(4, True, [True, True, True, True], '(instance_count=2,resp_time=0.35354894)')
(5, True, [True, True, True, True], '(instance_count=2,resp_time=0.3860812)')
(6, True, [True, True, True, True], '(instance_count=2,resp_time=0.4245407)')
(7, True, [True, True, True, True], '(instance_count=2,resp_time=0.42315644)')
(8, True, [True, True, True, True], '(instance_count=2,resp_time=0.38420048)')
(9, True, [True, True, True, True], '(instance_count=2,resp_time=0.42373058)')
(10, True, [True, True, True, True], '(instance_count=2,resp_time=0.4061514)')
(11, True, [True, True, True, True], '(instance_count=2,resp_time=0.3765871)')
(12, True, [True, True, True, True], '(instance_count=2,resp_time=0.40600792)')
(13, True, [True, True, True, True], '(instance_count=2,resp_time=0.40613782)')
(14, True, [True, True, True, True], '(instance_count=2,resp_time=0.3774511)')
(15, True, [True, True, True, True], '(instance_count=2,resp_time=0.36577246)')
(16, True, [True, True, True, True], '(instance_count=2,resp_time=0.37729084)')
(17, True, [True, True, True, True], '(instance_count=2,resp_time=0.37758723)')
(18, True, [True, True, True, True], '(instance_count=2,resp_time=0.3771402)')
(19, True, [True, True, True, True], '(instance_count=2,resp_time=0.37289423)')
(20, True, [True, True, True, True], '(instance_count=2,resp_time=0.4391155)')
(21, True, [True, True, True, True], '(instance_count=2,resp_time=0.37617946)')
(22, True, [True, True, True, True], '(instance_count=2,resp_time=0.38722342)')
(23, True, [True, True, True, True], '(instance_count=2,resp_time=0.3775732)')
(24, True, [True, True, True, True], '(instance_count=2,resp_time=0.38651115)')
(25, True, [True, True, True, True], '(instance_count=2,resp_time=0.36350685)')
(26, True, [True, True, True, True], '(instance_count=2,resp_time=0.42496094)')
(27, True, [True, True, True, True], '(instance_count=2,resp_time=0.42289343)')
(28, True, [True, True, True, True], '(instance_count=2,resp_time=0.386667)')
(29, True, [True, True, True, True], '(instance_count=2,resp_time=0.3868888)')
